source_id,source_name,source_url,target_filename,notes
IFC_001,FRV Solar India,https://disclosures.ifc.org/project-detail/SII/39151/frv-solar-india,IFC_FRV_Solar_India_SII.html,
IFC_002,Azure RG Project,https://disclosures.ifc.org/project-detail/SII/40099/azure-rg-project,IFC_Azure_RG_Project_SII.html,
IFC_003,PCR Renewables,https://disclosures.ifc.org/project-detail/SII/49802/pcr-renewables,IFC_PCR_Renewables_SII.html,
IFC_004,FP Energy EF,https://disclosures.ifc.org/project-detail/SII/48551/fp-energy-ef,IFC_FP_Energy_EF_SII.html,
IFC_005,Candi Solar CI,https://disclosures.ifc.org/project-detail/SII/49109/candi-solar-ci,IFC_Candi_Solar_CI_SII.html,
IFC_006,Elementum Debt,https://disclosures.ifc.org/project-detail/SII/49272/elementum-debt,IFC_Elementum_Debt_SII.html,
IFC_007,IndiGrid BESS,https://disclosures.ifc.org/project-detail/ESRS/49907/indigrid-bess,IFC_IndiGrid_BESS_ESRS.html,
